Temperature,Dissolved Oxygen,pH,Bio-Chemical Oxygen Demand (mg/L),Nitrate (mg/ L),Faecal Coliform (MPN/ 100 mL),Total Coliform (MPN/ 100 mL),Conductivity (mho/ Cm),WQI,Potability
19,2.6,7.5,27.5,,,1600,579,115.9831121,E
25,5.2,7.35,4.05,,,,348,69.40261109,C
25,1.6,6.65,38,,,,452,91.2534771,D
21.5,4.4,7.45,8.4,,,,382.5,76.37790037,D
21.5,1.9,7.35,33,,,,503,101.1540233,E
25,5.6,7.6,7,,,,395,78.83886986,D
16,7.2,7.55,1.5,,,,220,44.01896463,B
25,4.6,7.3,7,,,,532,105.9018852,E
25,5.5,7.6,6.8,,,,398.5,79.52011846,D
21,5.1,7.7,7.9,,,,212.5,42.75577385,B
25,5,7.55,9.4,,,,377,75.35906678,D
24.5,3.9,7.05,14,,,,491.5,98.15180602,D
24.5,5,7.45,7,,,,430,85.73993545,D
24.5,8.15,8.3,5.15,,5800,12050,453,91.21976212,D
27.8,8.2,7.3,,0.5,2000,7800,175,35.47180709,B
28.2,8.3,7.4,,0.5,2000,13000,177,35.88973529,B
25.9,6.95,8.15,4.2,1.55,12100,28700,348.5,71.60266101,C
25.9,6.7,8.1,4.4,1.55,17700,36750,354,73.5438855,C
26.25,3,7.6,8.5,2.2,93500,130500,394.5,93.17270907,D
26.25,2.3,7.55,8.95,2.35,128500,281000,402,100.3081522,E
26.25,2.3,8.05,9.3,2.85,62500,115000,518,113.0514312,E
26.25,1.9,7.55,10.1,2.95,109500,149500,526.5,121.8121061,E
26.25,4.1,8.05,4.95,1.35,24100,37000,393,82.13646841,D
26.25,4.45,8.05,4.3,1.35,17350,26150,384.5,79.40601982,D
23.5,6.95,7.95,4.55,0.85,5250,7650,384.5,77.58394288,D
23.5,7.05,7.95,4.55,0.85,4950,7600,379,76.45428995,D
26.5,8.25,8.3,2.85,0.2,1200,2400,408,81.53956586,D
24.5,7,7.35,5.5,,14750,27950,312,64.65956949,C
23.5,7.55,7.55,4.3,,11550,23000,293,60.38151054,C
21,9.9,7.8,3,0.5,13200,17050,300,62.05189433,C
23.5,7.2,7.4,4.7,,7650,20700,1284,255.82369,E
25.5,7.3,7.3,4.75,,9650,21150,310,63.46696053,C
25,8.7,7.75,1.9,0.295,8600,18050,273,55.94340388,C
23.75,8.85,8.25,2.05,0.45,350,1250,244,48.96968952,B
23.75,8.55,8.3,2.65,0.4,1350,2850,261,52.49819973,C
23.5,7.2,7.6,2.2,0.25,9600,30400,498,100.5934422,E
19.5,7.35,7.25,2.25,0.2,2650,7950,462.5,92.45704224,D
25.5,7.1,7.65,3.8,0.3,15000,83400,278.5,58.21066773,C
30.5,6.75,7.6,3.65,0.2,14850,54500,346,71.43701282,C
26,2.8,6.95,7,0.7,11700,85500,564.5,114.3309968,E
